crop,epoch,phase,accuracy,val_accuracy,loss,val_loss,learning_rate
corn,0,Phase 1,0.25993428306022465,0.32931297537843107,2.0369233289997704,1.4760412881077356,9.999999747378752e-05
corn,1,Phase 1,0.2785918925391422,0.3290567562794731,1.9325749075275322,1.4272191047162242,9.999999747378752e-05
corn,2,Phase 1,0.3256681278871456,0.36849512867216616,1.8422305728166553,1.317687358398529,9.999999747378752e-05
corn,3,Phase 1,0.37453213281585807,0.3722218831433424,1.7569642956246365,1.2496958294442122,9.999999747378752e-05
corn,4,Phase 1,0.3707456467557967,0.42340147466631173,1.6220998743537631,1.2866345053173707,9.999999747378752e-05
corn,5,Phase 1,0.4021031536738457,0.47007986324021656,1.5840402569204328,1.2503222691756168,9.999999747378752e-05
corn,6,Phase 1,0.46972732768554293,0.478413822186777,1.5210070222602126,1.1154118152174743,9.999999747378752e-05
corn,7,Phase 1,0.4848489445210191,0.5425199363913403,1.5209015655871811,1.1056910197405077,9.999999747378752e-05
corn,8,Phase 1,0.4914679407818278,0.5565654845152547,1.4092328622226922,1.0100982296477032,9.999999747378752e-05
corn,9,Phase 1,0.543065807934812,0.596316665606969,1.2279064334441658,0.8962624942144805,9.999999747378752e-05
corn,10,Phase 1,0.5543034317694093,0.6236886906474505,1.2562691331500764,0.8830903157695725,9.999999747378752e-05
corn,11,Phase 1,0.5856143691168193,0.706340668871421,1.1448173141275542,0.8784244173668655,9.999999747378752e-05
corn,12,Phase 1,0.6311253881821108,0.7025974429756874,1.0542318216011057,0.7362333406374846,9.999999747378752e-05
corn,13,Phase 1,0.6211253881821108,0.715285451180532,1.0426682295264806,0.7527588789330977,9.999999747378752e-05
corn,14,Phase 1,0.6545021432256612,0.7864628502909176,0.9876408846772684,0.4800414944873253,9.999999747378752e-05
corn,15,Phase 1,0.7091119278536683,0.7791673613386373,0.9066614079763144,0.5300414944873253,9.999999747378752e-05
corn,16,Phase 1,0.7314582345943652,0.8413337885273565,0.7421430193274062,0.4883852102025515,9.999999747378752e-05
corn,17,Phase 1,0.789356982215525,0.8315353964388699,0.6926497701640111,0.4055845428167646,9.999999747378752e-05
corn,18,Phase 1,0.7962687326157611,0.8777373602277004,0.6486800539947837,0.36162500271624837,9.999999747378752e-05
corn,19,Phase 1,0.8175403186620454,0.9418105882122555,0.6049006322487571,0.19416057170884385,9.999999747378752e-05
corn,20,Phase 2,0.8457863926887512,0.937873363494873,0.5561233758926392,0.2935390174388885,9.999999747378752e-05
corn,21,Phase 2,0.903787076473236,0.9462365508079528,0.388371080160141,0.262035459280014,9.999999747378752e-05
corn,22,Phase 2,0.9225520491600036,0.9462365508079528,0.3230624198913574,0.254949539899826,9.999999747378752e-05
corn,23,Phase 2,0.9303991794586182,0.9498208165168762,0.2902830243110657,0.2342860549688339,9.999999747378752e-05
corn,24,Phase 2,0.937563955783844,0.9569892287254332,0.2600772082805633,0.2179587632417678,9.999999747378752e-05
corn,25,Phase 2,0.9474582076072692,0.9569892287254332,0.2290883213281631,0.2086362540721893,9.999999747378752e-05
corn,26,Phase 2,0.955646514892578,0.958184003829956,0.2177858054637909,0.2032181024551391,9.999999747378752e-05
corn,27,Phase 2,0.9539406299591064,0.9569892287254332,0.2127372920513153,0.1997936218976974,9.999999747378752e-05
corn,28,Phase 2,0.960764229297638,0.9557945132255554,0.1953231990337371,0.2101073563098907,9.999999747378752e-05
corn,29,Phase 2,0.9638348817825316,0.9641577005386353,0.1763510555028915,0.1987897753715515,9.999999747378752e-05
corn,30,Phase 2,0.9679290056228638,0.959378719329834,0.1671520769596099,0.2080786377191543,9.999999747378752e-05
corn,31,Phase 2,0.9672466516494752,0.9629629850387572,0.1688824594020843,0.1954573094844818,9.999999747378752e-05
corn,32,Phase 2,0.9723643660545348,0.966547191143036,0.1588789671659469,0.1971011310815811,9.999999747378752e-05
corn,33,Phase 2,0.973387897014618,0.965352475643158,0.1644280403852462,0.1916911602020263,9.999999747378752e-05
corn,34,Phase 2,0.9706584811210632,0.959378719329834,0.1582569330930709,0.2046691477298736,9.999999747378752e-05
