crop,version,class_name,support,precision,recall,f1_score
corn,v1_20260118_144945,Blight,115,0.9145299145299145,0.9304347826086956,0.9224137931034483
corn,v1_20260118_144945,Common Rust,131,0.9624060150375939,0.9770992366412213,0.9696969696969697
corn,v1_20260118_144945,Gray Leaf Spot,57,0.8703703703703703,0.8245614035087719,0.8468468468468469
corn,v1_20260118_144945,Healthy,117,1.0,0.9914529914529915,0.9957081545064378
rice,v1_20260118_161225,Bacterial Leaf Blight,64,0.9846153846153847,1.0,0.9922480620155039
rice,v1_20260118_161225,Brown Spot,65,0.9848484848484849,1.0,0.9923664122137404
rice,v1_20260118_161225,Healthy,66,1.0,1.0,1.0
rice,v1_20260118_161225,Rice Blast,63,1.0,0.9682539682539683,0.9838709677419355
soybean,v1_20260118_225345,D Mossaic Virus,2,1.0,0.5,0.6666666666666666
soybean,v1_20260118_225345,D septoria,2,1.0,0.5,0.6666666666666666
soybean,v1_20260118_225345,Southern blight,7,0.875,1.0,0.9333333333333333
soybean,v1_20260118_225345,Sudden Death Syndrone,11,1.0,1.0,1.0
soybean,v1_20260118_225345,Yellow Mosaic,11,1.0,1.0,1.0
soybean,v1_20260118_225345,bacterial_blight,5,1.0,1.0,1.0
soybean,v1_20260118_225345,ferrugen,7,1.0,1.0,1.0
soybean,v1_20260118_225345,powdery_mildew,14,0.9333333333333333,1.0,0.9655172413793104
wheat,v1_20260118_234239,Healthy,100,0.9433962264150944,1.0,0.970873786407767
wheat,v1_20260118_234239,Leaf Rust,127,0.9272727272727272,0.8031496062992126,0.8607594936708861
wheat,v1_20260118_234239,Powdery Mildew,108,0.981651376146789,0.9907407407407407,0.9861751152073732
wheat,v1_20260118_234239,Stem Rust,58,0.7121212121212122,0.8103448275862069,0.7580645161290323
wheat,v1_20260118_234239,Stripe (Yellow) Rust,131,0.9849624060150376,1.0,0.9924242424242424
